Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Spider-Man: No Way Home,"$1,886,073,139","$799,073,139",42.4%,"$1,087,000,000",57.6%
2,The Battle at Lake Changjin,"$902,540,935","$342,411",<0.1%,"$902,198,524",100%
3,"Hi, Mom","$822,009,764",-,-,"$822,009,764",100%
4,No Time to Die,"$774,153,007","$160,891,007",20.8%,"$613,262,000",79.2%
5,F9: The Fast Saga,"$726,229,501","$173,005,945",23.8%,"$553,223,556",76.2%
6,Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%
7,Venom: Let There Be Carnage,"$502,050,366","$213,550,366",42.5%,"$288,500,000",57.5%
8,Godzilla vs. Kong,"$468,216,094","$100,916,094",21.6%,"$367,300,000",78.4%
9,Shang-Chi and the Legend of the Ten Rings,"$432,243,292","$224,543,292",51.9%,"$207,700,000",48.1%
10,Eternals,"$402,064,899","$164,870,234",41%,"$237,194,665",59%
11,Dune,"$400,605,070","$108,261,111",27%,"$292,343,959",73%
12,Black Widow,"$379,751,655","$183,651,655",48.4%,"$196,100,000",51.6%
13,Sing 2,"$377,926,880","$159,256,880",42.1%,"$218,670,000",57.9%
14,Free Guy,"$331,526,598","$121,626,598",36.7%,"$209,900,000",63.3%
15,A Quiet Place Part II,"$297,372,261","$160,072,261",53.8%,"$137,300,000",46.2%
16,Encanto,"$251,689,846","$95,959,860",38.1%,"$155,729,986",61.9%
17,Cruella,"$233,503,234","$86,103,234",36.9%,"$147,400,000",63.1%
18,"My Country, My Parents","$221,701,823","$166,807",<0.1%,"$221,535,016",99.9%
19,Jungle Cruise,"$220,889,446","$116,987,516",53%,"$103,901,930",47%
20,Raging Fire,"$205,846,481","$385,305",0.2%,"$205,461,176",99.8%
21,The Conjuring: The Devil Made Me Do It,"$202,031,050","$65,631,050",32.5%,"$136,400,000",67.5%
22,Ghostbusters: Afterlife,"$197,360,575","$129,360,575",65.5%,"$68,000,000",34.5%
23,Chinese Doctors,"$197,143,218",-,-,"$197,143,218",100%
24,Cliff Walkers,"$181,325,565","$152,972",<0.1%,"$181,172,593",99.9%
25,The Suicide Squad,"$167,417,425","$55,817,425",33.3%,"$111,600,000",66.7%
26,Space Jam: A New Legacy,"$162,892,228","$70,592,228",43.3%,"$92,300,000",56.7%
27,The Matrix Resurrections,"$156,575,035","$37,686,805",24.1%,"$118,888,230",75.9%
28,House of Gucci,"$154,075,986","$53,809,574",34.9%,"$100,266,412",65.1%
29,Peter Rabbit 2: The Runaway,"$153,901,717","$40,501,717",26.3%,"$113,400,000",73.7%
30,A Writer's Odyssey,"$150,123,320","$160,013",0.1%,"$149,963,307",99.9%
31,The Boss Baby 2: Family Business,"$146,745,280","$57,300,280",39%,"$89,445,000",61%
32,PAW Patrol: The Movie,"$144,327,371","$40,127,371",27.8%,"$104,200,000",72.2%
33,Jujutsu Kaisen 0: The Movie,"$141,316,689","$24,445,224",17.3%,"$116,871,465",82.7%
34,Tom & Jerry: The Movie,"$133,336,687","$46,536,687",34.9%,"$86,800,000",65.1%
35,Be Somebody,"$132,326,332",-,-,"$132,326,332",100%
36,Halloween Kills,"$131,647,155","$92,002,155",69.9%,"$39,645,000",30.1%
37,Raya and the Last Dragon,"$130,423,032","$54,723,032",42%,"$75,700,000",58%
38,Sister,"$128,317,206",-,-,"$128,317,206",100%
39,The King's Man,"$125,928,656","$37,176,373",29.5%,"$88,752,283",70.5%
40,The Addams Family 2,"$119,815,153","$56,489,153",47.1%,"$63,326,000",52.9%
41,My Love,"$114,016,434","$86,252",<0.1%,"$113,930,182",99.9%
42,Clifford the Big Red Dog,"$107,347,356","$48,947,356",45.6%,"$58,400,000",54.4%
43,Wrath of Man,"$103,966,489","$27,466,489",26.4%,"$76,500,000",73.6%
44,Detective Conan: The Scarlet Bullet,"$95,580,715",-,-,"$95,580,715",100%
45,Evangelion: 3.0+1.01 Thrice Upon a Time,"$92,246,218",-,-,"$92,246,218",100%
46,End Game,"$91,824,961","$23,149",<0.1%,"$91,801,812",100%
47,Old,"$90,146,510","$48,276,510",53.6%,"$41,870,000",46.4%
48,Mortal Kombat,"$83,726,031","$42,326,031",50.6%,"$41,400,000",49.4%
49,Boonie Bears: The Wild Life,"$77,961,427",-,-,"$77,961,427",100%
50,Candyman,"$77,411,570","$61,186,570",79%,"$16,225,000",21%
51,The Forever Purge,"$76,994,245","$44,539,245",57.8%,"$32,455,000",42.2%
52,1921,"$75,159,828",-,-,"$75,159,828",100%
53,West Side Story,"$75,119,320","$38,460,444",51.2%,"$36,658,876",48.8%
54,Hitman's Wife's Bodyguard,"$70,060,492","$38,014,727",54.3%,"$32,045,765",45.7%
55,Belle,"$63,322,814","$4,006,300",6.3%,"$59,316,514",93.7%
56,Ron's Gone Wrong,"$60,692,022","$23,009,270",37.9%,"$37,682,752",62.1%
57,Cloudy Mountain,"$58,281,703",-,-,"$58,281,703",100%
58,Avatar 2021 Re-release,"$57,700,000",-,-,"$57,700,000",100%
59,Nezha Reborn,"$56,088,478",-,-,"$56,088,478",100%
60,Nobody,"$55,705,035","$27,568,035",49.5%,"$28,137,000",50.5%
61,Upcoming,"$54,300,000",-,-,"$54,300,000",100%
62,Man in Love,"$52,946,097",-,-,"$52,946,097",100%
63,Break Through the Darkness,"$52,700,000",-,-,"$52,700,000",100%
64,Escape Room: Tournament of Champions,"$51,914,753","$25,314,753",48.8%,"$26,600,000",51.2%
65,Schemes in Antiques,"$51,637,422","$36,501",<0.1%,"$51,600,921",99.9%
66,Luca,"$49,750,471",-,-,"$49,750,471",100%
67,Don't Breathe 2,"$47,312,950","$32,712,950",69.1%,"$14,600,000",30.9%
68,My Hero Academia: World Heroes' Mission,"$46,924,698","$12,271,658",26.2%,"$34,653,040",73.8%
69,The French Dispatch,"$46,281,956","$16,124,375",34.8%,"$30,157,581",65.2%
70,Love Will Tear Us Apart,"$45,060,290",-,-,"$45,060,290",100%
71,In the Heights,"$43,975,167","$29,975,167",68.2%,"$14,000,000",31.8%
72,Belfast,"$42,768,240","$9,137,240",21.4%,"$33,631,000",78.6%
73,Spirit Untamed,"$42,717,215","$17,716,215",41.5%,"$25,001,000",58.5%
74,Spiral,"$40,618,920","$23,216,862",57.2%,"$17,402,058",42.8%
75,Snake Eyes,"$40,064,325","$28,264,325",70.5%,"$11,800,000",29.5%
76,Tokyo Revengers,"$39,687,069",-,-,"$39,687,069",100%
77,Nomadland,"$39,458,207","$3,700,000",9.4%,"$35,758,207",90.6%
78,Resident Evil: Welcome to Raccoon City,"$38,600,612","$17,000,612",44%,"$21,600,000",56%
79,King Richard,"$38,083,946","$15,083,946",39.6%,"$23,000,000",60.4%
80,Arashi Anniversary Tour 5 x 20 Film: Record of Memories,"$38,052,695",-,-,"$38,052,695",100%
81,Nightmare Alley,"$38,034,700","$11,322,374",29.8%,"$26,712,326",70.2%
82,The Yinyang Master,"$37,690,000",-,-,"$37,690,000",100%
83,Rurouni Kenshin: Final Chapter Part I - The Final,"$36,964,978",-,-,"$36,964,978",100%
84,The Door Lock,"$36,100,000",-,-,"$36,100,000",100%
85,I Fell in Love Like a Flower Bouquet,"$34,975,905",-,-,"$34,975,905",100%
86,Malignant,"$33,991,791","$13,391,791",39.4%,"$20,600,000",60.6%
87,Big Red Envelope,"$32,800,000",-,-,"$32,800,000",100%
88,Masquerade Night,"$32,287,400",-,-,"$32,287,400",100%
89,Once Upon a Time in Hong Kong,"$32,218,874",-,-,"$32,218,874",100%
90,Home Sweet Home,"$32,178,677",-,-,"$32,178,677",100%
91,Respect,"$32,104,126","$24,278,399",75.6%,"$7,825,727",24.4%
92,The Unholy,"$30,832,137","$15,532,137",50.4%,"$15,300,000",49.6%
93,The Last Duel,"$30,552,111","$10,853,945",35.5%,"$19,698,166",64.5%
94,Licorice Pizza,"$30,487,210","$17,094,694",56.1%,"$13,392,516",43.9%
95,The Little Things,"$29,942,746","$15,342,746",51.2%,"$14,600,000",48.8%
96,Escape from Mogadishu,"$29,861,163","$346,271",1.2%,"$29,514,892",98.8%
97,Master,"$28,692,230",-,-,"$28,692,230",100%
98,The Last Warrior: Root of Evil,"$28,357,398",-,-,"$28,357,398",100%
99,The Last Warrior: A Messenger of Darkness,"$27,052,365",-,-,"$27,052,365",100%
100,American Underdog,"$26,514,814","$26,514,814",100%,-,-
101,Chaos Walking,"$26,508,132","$13,287,908",50.1%,"$13,220,224",49.9%
102,The Courier,"$26,001,227","$6,613,432",25.4%,"$19,387,795",74.6%
103,Those Who Wish Me Dead,"$23,468,586","$7,407,200",31.6%,"$16,061,386",68.4%
104,The Marksman,"$23,076,711","$15,566,093",67.5%,"$7,510,618",32.5%
105,99.9 Criminal Lawyer: The Movie,"$23,055,069",-,-,"$23,055,069",100%
106,Last Night in Soho,"$22,957,625","$10,127,625",44.1%,"$12,830,000",55.9%
107,The Day We Lit Up the Sky,"$22,500,000",-,-,"$22,500,000",100%
108,Spencer,"$22,301,766","$7,086,632",31.8%,"$15,215,134",68.2%
109,Kaamelott: First Installment,"$21,965,451","$188,000",0.9%,"$21,777,451",99.1%
110,After We Fell,"$21,584,600","$2,170,750",10.1%,"$19,413,850",89.9%
111,Rurouni Kenshin: Final Chapter Part II - The Beginning,"$21,318,560",-,-,"$21,318,560",100%
112,Wish Dragon,"$21,120,000",-,-,"$21,120,000",100%
113,Stillwater,"$19,697,881","$14,465,535",73.4%,"$5,232,346",26.6%
114,Les Tuche 4,"$19,259,766",-,-,"$19,259,766",100%
115,Dear Evan Hansen,"$19,046,191","$15,002,646",78.8%,"$4,043,545",21.2%
116,The Pioneer,"$18,900,000",-,-,"$18,900,000",100%
117,The Green Knight,"$18,888,418","$17,173,321",90.9%,"$1,715,097",9.1%
118,Antlers,"$18,867,659","$10,619,670",56.3%,"$8,247,989",43.7%
119,Sinkhole,"$18,804,231",-,-,"$18,804,231",100%
120,Mobile Suit Gundam: Hathaway,"$18,731,309",-,-,"$18,731,309",100%
121,Parallel Mothers,"$18,591,272","$2,155,490",11.6%,"$16,435,782",88.4%
122,The Stronghold,"$18,066,143",-,-,"$18,066,143",100%
123,Bo Gia,"$17,480,489","$350,000",2%,"$17,130,489",98%
124,The Dry,"$17,392,594","$364,237",2.1%,"$17,028,357",97.9%
125,Gintama: The Final,"$17,252,960",-,-,"$17,252,960",100%
126,Railway Heroes,"$17,223,542",-,-,"$17,223,542",100%
127,The Wolf and the Lion,"$16,975,717","$1,851,627",10.9%,"$15,124,090",89.1%
128,Your Turn to Kill,"$16,511,822",-,-,"$16,511,822",100%
129,Upon the Magic Roads,"$15,990,882",-,-,"$15,990,882",100%
130,Reminiscence,"$15,800,193","$3,900,193",24.7%,"$11,900,000",75.3%
131,Cry Macho,"$15,522,017","$10,310,734",66.4%,"$5,211,283",33.6%
132,The Night House,"$15,437,703","$7,100,581",46%,"$8,337,122",54%
133,Minari,"$15,322,552","$3,110,580",20.3%,"$12,211,972",79.7%
134,Something About Love,"$15,204,017",-,-,"$15,204,017",100%
135,Anita,"$15,026,604","$556,632",3.7%,"$14,469,972",96.3%
136,The Tomorrow War,"$14,400,000",-,-,"$14,400,000",100%
137,"And, the Baton Was Passed","$14,368,469",-,-,"$14,368,469",100%
138,Crayon Shin-chan: Shrouded in Mystery! The Flowers of Tenkazu Academy,"$14,059,824",-,-,"$14,059,824",100%
139,Sword Art Online: Progressive - Aria of a Starless Night,"$14,034,582","$1,050,000",7.5%,"$12,984,582",92.5%
140,Christmas with the Chosen: The Messengers,"$13,728,000","$13,728,000",100%,-,-
141,OSS 117: From Africa with Love,"$13,433,702",-,-,"$13,433,702",100%
142,Hostage: Missing Celebrity,"$13,125,970",-,-,"$13,125,970",100%
143,Eiffel,"$13,082,620",-,-,"$13,082,620",100%
144,Vakeel Saab,"$13,056,490",-,-,"$13,056,490",100%
145,School of Magical Animals,"$13,020,757",-,-,"$13,020,757",100%
146,Monkey King Reborn,"$13,002,635",-,-,"$13,002,635",100%
147,No Escapes,"$12,916,151",-,-,"$12,916,151",100%
148,The Bodin's in the Land of Smile,"$12,872,253",-,-,"$12,872,253",100%
149,The Many Saints of Newark,"$12,737,403","$8,237,403",64.7%,"$4,500,000",35.3%
150,Character,"$12,571,501",-,-,"$12,571,501",100%
151,On Your Mark,"$12,100,000",-,-,"$12,100,000",100%
152,Stand by Me,"$11,900,000",-,-,"$11,900,000",100%
153,On the Line,"$11,772,156",-,-,"$11,772,156",100%
154,The Fable: The Killer Who Doesn't Kill,"$11,325,545",-,-,"$11,325,545",100%
155,What Did You Eat Yesterday?,"$11,320,893",-,-,"$11,320,893",100%
156,Aline,"$11,088,475","$606,464",5.5%,"$10,482,011",94.5%
157,Drive My Car,"$11,041,495","$2,175,436",19.7%,"$8,866,059",80.3%
158,Harry Potter and the Sorcerer's Stone 2021 Re-release,"$10,795,457","$799,342",7.4%,"$9,996,115",92.6%
159,Krack,"$10,442,916",-,-,"$10,442,916",100%
160,Kaiserschmarrndrama,"$10,357,720",-,-,"$10,357,720",100%
161,"Caution, Hazardous Wife: The Movie","$10,356,359",-,-,"$10,356,359",100%
162,Realm of Terracotta,"$10,341,512",-,-,"$10,341,512",100%
163,Detective Conan: The Scarlet Alibi,"$10,308,627",-,-,"$10,308,627",100%
164,Never Stop,"$10,224,935",-,-,"$10,224,935",100%
165,Sumikko Gurashi The Movie: The Magical Child Of The Blue Moonlit Night,"$9,735,732",-,-,"$9,735,732",100%
166,Black Box,"$9,639,918",-,-,"$9,639,918",100%
167,The Soul,"$9,600,000",-,-,"$9,600,000",100%
168,Ainbo,"$9,561,522",-,-,"$9,561,522",100%
169,¡A todo tren! Destino Asturias,"$9,544,171",-,-,"$9,544,171",100%
170,Baragaki: Unbroken Samurai,"$9,481,437",-,-,"$9,481,437",100%
171,All About My Mother,"$8,900,000",-,-,"$8,900,000",100%
172,Legend No. 17,"$8,869,709",-,-,"$8,869,709",100%
173,The Eleventh Chapter,"$8,845,525",-,-,"$8,845,525",100%
174,The Vault,"$8,808,878",-,-,"$8,808,878",100%
175,Kaguya-sama: Love Is War,"$8,794,981",-,-,"$8,794,981",100%
176,The Worst Person in the World,"$8,763,377","$2,829,379",32.3%,"$5,933,998",67.7%
177,Agent Backkom: Kings Bear,"$8,500,000",-,-,"$8,500,000",100%
178,Honey Lemon Soda,"$8,441,488",-,-,"$8,441,488",100%
179,The Medium,"$8,441,072",-,-,"$8,441,072",100%
180,Delicious,"$8,437,097",-,-,"$8,437,097",100%
181,The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$8,377,569",-,-,"$8,377,569",100%
182,The Protégé,"$8,364,568","$7,446,823",89%,"$917,745",11%
183,I Don't Have Any Money Left in My Retirement Account,"$8,204,616",-,-,"$8,204,616",100%
184,White Snake 2: Green Snake,"$8,170,000",-,-,"$8,170,000",100%
185,Lost Illusions,"$8,071,887",-,-,"$8,071,887",100%
186,New Happy Dad and Son 4,"$8,070,000",-,-,"$8,070,000",100%
187,Sunny Sisters,"$7,880,000",-,-,"$7,880,000",100%
188,Hard Hit,"$7,633,895",-,-,"$7,633,895",100%
189,Little Canned Men,"$7,600,000",-,-,"$7,600,000",100%
190,Pushpa: The Rise - Part 1,"$7,592,374","$1,320,000",17.4%,"$6,272,374",82.6%
191,The Mauritanian,"$7,527,030","$836,536",11.1%,"$6,690,494",88.9%
192,The Ice Road,"$7,502,846",-,-,"$7,502,846",100%
193,Love Letter 2021 Re-release,"$7,400,000",-,-,"$7,400,000",100%
194,'83,"$7,351,061","$4,055,660",55.2%,"$3,295,401",44.8%
195,Signal: The Movie,"$7,344,186",-,-,"$7,344,186",100%
196,Contra,"$7,216,863",-,-,"$7,216,863",100%
197,Dear Tutu: Operation T-Rex,"$7,200,000",-,-,"$7,200,000",100%
198,Water Boys,"$7,200,000",-,-,"$7,200,000",100%
199,Couple from the Future,"$7,160,729",-,-,"$7,160,729",100%
200,Sooryavanshi,"$6,984,082","$3,547,776",50.8%,"$3,436,306",49.2%
